previous_gpa,internal_score,study_hours,attendance,assignment_rate,parental_education,internet_access,extracurricular,performance_label
4.63,99.1,7.9,84.2,59.5,2,1,1,1
6.16,83.8,7.9,71.3,93.4,3,1,1,1
4.92,80.4,12.2,69.3,34.9,3,0,1,0
4.01,72.7,10.4,66.6,52.5,1,1,0,0
8.17,76.0,11.3,89.7,56.7,2,1,1,1
9.94,52.1,12.9,62.6,49.7,2,1,1,1
3.98,47.3,7.7,72.7,45.5,1,1,1,0
7.51,61.9,6.6,72.8,81.4,3,1,0,0
5.33,58.9,4.7,64.5,70.1,3,1,1,0
5.62,53.8,5.7,51.4,80.8,1,1,1,0
5.43,74.5,20.0,76.8,86.4,1,0,0,1
4.94,79.2,14.0,71.1,78.8,0,1,1,1
6.59,63.6,3.6,79.5,85.8,3,1,0,0
5.0,88.6,3.7,64.0,72.7,1,1,1,0
6.99,41.4,10.9,90.3,52.6,2,1,1,0
6.41,58.5,11.2,58.8,93.0,2,1,1,1
6.07,49.1,11.2,97.7,63.4,2,0,0,1
4.87,28.4,8.0,45.8,57.2,0,0,0,0
5.46,60.5,8.5,78.5,70.8,1,1,1,0
7.86,59.8,10.3,79.1,57.6,3,1,1,1
7.4,89.2,9.3,60.1,66.5,3,1,0,1
4.74,73.4,0.1,78.4,80.2,3,1,1,0
6.68,43.6,8.1,91.2,80.3,0,1,1,0
7.85,95.4,5.6,38.7,57.8,1,1,0,1
3.5,84.0,9.7,79.5,65.2,2,1,0,0
7.48,72.5,20.0,34.6,93.3,1,1,0,1
5.31,57.9,10.5,57.5,82.9,3,0,1,0
7.53,44.7,7.7,96.4,100.0,2,0,1,1
5.13,55.3,12.7,63.3,95.2,0,0,1,0
3.25,81.6,10.9,54.4,94.6,3,0,1,0
3.57,95.9,10.7,69.0,49.0,3,0,1,1
6.59,89.8,11.4,100.0,87.7,0,1,1,1
6.97,53.2,17.2,44.5,73.0,2,1,0,1
4.87,41.8,4.5,56.2,64.1,1,1,1,0
7.65,64.5,10.9,94.5,77.0,2,0,0,1
3.51,30.2,5.3,99.9,91.0,1,1,1,0
6.38,67.8,11.2,70.4,83.0,2,1,1,1
4.32,59.3,5.3,53.4,58.2,3,0,0,0
5.33,53.6,7.3,100.0,87.4,2,1,1,1
6.59,33.3,7.8,95.9,62.5,0,0,0,0
4.95,71.2,12.9,82.2,77.9,2,1,1,1
5.81,52.4,12.7,59.8,68.5,1,1,0,0
8.31,40.9,4.0,71.3,70.1,3,1,1,0
5.46,10.3,9.2,69.6,87.8,2,1,0,0
8.0,61.5,6.2,77.0,55.3,1,1,0,1
4.47,93.9,4.0,93.8,100.0,1,1,0,1
7.45,91.9,8.1,85.2,41.2,3,1,0,1
9.09,53.8,7.8,55.8,63.2,1,0,0,1
2.05,51.2,18.7,92.6,80.7,3,0,1,0
5.07,70.4,10.7,76.7,84.5,1,1,0,1
7.54,44.0,3.5,82.3,72.2,1,1,0,0
6.13,67.4,6.7,94.0,73.0,2,1,0,1
7.17,75.8,13.1,55.3,81.4,3,0,1,1
5.41,84.1,17.4,71.5,69.8,3,1,1,1
6.66,60.2,2.7,64.0,99.1,1,1,1,0
6.22,58.3,1.5,48.5,89.1,2,1,1,0
8.6,46.2,16.5,77.2,89.7,1,1,0,1
6.96,47.1,10.6,100.0,56.6,2,1,0,1
7.11,57.9,5.5,44.4,72.6,2,0,0,0
5.76,68.6,11.1,71.5,68.6,3,1,1,1
5.62,78.4,0.0,81.6,55.9,3,1,1,0
5.72,47.5,9.0,73.8,80.5,2,1,1,0
7.21,88.9,10.3,70.3,64.3,2,1,0,1
5.74,57.1,12.7,52.5,85.8,3,1,0,0
7.02,61.6,4.9,75.5,54.7,3,1,0,0
10.0,48.6,9.3,60.6,100.0,0,1,1,1
8.07,18.4,5.3,39.2,57.9,1,1,0,0
5.91,77.9,10.0,89.9,77.9,2,1,1,1
8.66,75.3,5.4,86.4,88.3,1,1,0,1
5.77,56.9,7.4,72.8,63.7,1,1,1,0
2.83,63.2,5.0,75.4,89.3,0,1,1,0
4.69,71.3,11.6,88.1,51.9,2,1,1,1
3.13,33.9,12.4,75.4,100.0,1,0,1,0
5.87,52.5,8.1,85.6,74.3,0,1,1,0
6.53,76.3,9.2,67.5,63.3,1,0,1,0
9.52,39.4,3.2,91.7,68.6,3,1,1,1
7.09,67.3,7.8,76.8,88.6,3,1,1,1
6.11,37.6,8.8,74.9,63.5,2,1,1,0
7.99,70.4,19.5,52.9,60.5,2,1,1,1
2.52,61.4,4.6,76.3,70.0,3,1,1,0
6.92,32.9,14.9,59.5,52.8,1,1,1,0
7.89,83.0,13.0,62.4,100.0,1,0,0,1
3.84,48.8,10.1,59.8,63.8,1,0,0,0
8.56,47.4,16.0,56.0,89.0,1,1,1,1
7.11,65.6,10.5,100.0,77.8,2,1,1,1
5.75,82.7,10.6,92.0,56.3,3,0,1,1
7.64,43.7,8.8,100.0,73.9,2,0,0,1
10.0,63.1,13.9,53.7,88.1,2,1,1,1
6.83,69.7,13.4,73.1,70.6,3,1,1,1
6.95,74.5,6.5,52.6,95.5,0,1,0,1
5.67,65.2,3.7,61.6,92.4,1,0,1,0
4.97,55.4,8.2,58.2,90.5,2,0,1,0
7.99,47.1,5.8,90.6,65.7,2,1,0,0
4.96,63.6,8.7,66.1,54.6,0,1,1,0
6.63,42.7,13.9,88.0,63.0,2,1,1,1
5.64,9.4,7.2,81.1,77.5,2,1,0,0
7.36,69.9,8.8,100.0,83.8,2,1,0,1
7.1,78.3,9.2,49.8,34.9,2,0,1,1
8.37,19.5,12.4,90.9,73.9,1,1,0,1
5.58,43.8,0.0,89.2,76.8,0,1,0,0
6.01,73.1,6.6,57.4,69.0,2,1,0,0
4.74,99.0,9.8,87.1,97.2,1,1,1,1
5.7,62.4,13.8,77.0,81.6,3,1,1,1
7.18,48.9,7.0,68.6,97.6,2,0,1,1
7.86,58.7,1.5,59.6,70.1,1,1,0,0
4.84,86.7,11.5,61.2,90.9,3,1,1,1
8.07,50.4,6.5,100.0,100.0,2,1,0,1
8.94,47.6,4.2,72.0,97.6,1,1,0,1
7.24,53.3,6.5,83.7,54.3,3,1,1,0
9.88,44.8,8.3,60.1,69.4,3,1,0,1
5.11,64.2,6.6,60.3,67.8,2,1,1,0
4.26,91.2,0.2,88.2,82.8,0,0,1,0
3.3,67.8,12.6,51.8,86.4,2,1,0,0
9.19,57.5,14.1,65.8,58.9,3,0,1,1
7.68,56.7,11.6,72.5,75.2,1,1,1,1
6.4,33.9,4.4,73.7,37.6,1,1,1,0
7.0,77.9,8.2,69.3,100.0,3,1,0,1
4.47,60.6,9.0,77.9,64.8,0,1,1,0
10.0,58.8,11.4,82.4,75.0,3,1,0,1
6.73,100.0,11.7,83.0,68.4,2,0,1,1
6.7,67.4,6.1,57.2,94.6,2,1,0,0
7.81,48.5,9.3,67.7,22.9,0,0,1,0
7.37,54.3,10.8,89.9,73.7,3,1,0,1
6.9,82.7,14.8,85.4,72.1,2,1,0,1
5.08,64.0,11.8,51.4,65.8,2,1,1,0
7.35,36.1,12.2,77.3,100.0,2,1,1,1
9.89,78.5,9.3,42.3,58.0,2,0,1,1
8.92,50.0,14.6,72.7,87.9,3,0,1,1
9.37,95.7,10.6,100.0,80.4,2,1,0,1
5.58,81.4,5.6,57.8,96.7,2,1,1,1
4.72,53.9,14.6,59.5,62.0,3,0,1,0
6.27,85.1,11.8,83.5,60.8,2,1,0,1
6.6,63.2,7.2,48.9,93.7,1,1,1,1
8.47,77.3,7.1,62.5,81.7,1,0,1,1
3.45,70.7,10.2,80.9,46.2,3,1,1,0
9.25,46.8,10.9,62.5,64.3,2,0,1,1
6.22,50.4,9.8,68.5,81.0,2,1,1,0
5.73,80.5,10.2,83.2,89.1,2,1,0,1
4.68,56.0,15.8,78.3,61.8,1,1,0,1
3.52,54.7,13.3,76.0,21.5,2,1,1,0
7.98,44.8,9.8,66.9,83.4,0,0,0,1
6.63,69.6,12.8,77.6,52.0,2,1,0,1
4.18,99.1,4.9,70.1,37.7,2,1,0,0
4.17,42.8,10.6,78.9,23.0,2,0,1,0
5.9,62.4,16.2,64.5,88.7,2,1,0,1
9.5,87.4,8.1,69.3,76.3,3,1,1,1
6.03,60.6,5.6,57.2,69.9,3,1,1,0
3.79,70.1,6.4,71.5,99.0,0,1,0,0
6.06,42.9,4.6,59.8,85.5,1,1,1,0
6.01,69.7,5.9,55.3,100.0,2,1,1,1
1.65,58.6,7.5,75.9,48.9,3,1,1,0
6.4,79.7,3.4,75.2,73.4,3,1,1,0
6.08,83.4,9.1,83.7,44.9,3,1,0,1
7.75,100.0,12.6,65.5,69.9,1,1,1,1
9.83,72.4,5.4,78.1,69.5,2,1,0,1
8.53,67.9,15.1,80.3,85.3,2,1,1,1
6.02,65.5,11.0,78.7,74.8,1,1,1,0
4.51,55.6,13.1,59.6,85.2,0,1,1,0
10.0,68.1,6.4,74.2,86.7,3,1,0,1
6.61,56.7,12.4,77.5,100.0,1,1,0,1
6.53,65.0,4.6,72.1,68.3,1,1,0,0
6.46,85.7,12.6,40.7,57.1,0,1,1,1
6.86,43.9,9.7,74.4,78.4,3,0,0,0
6.24,82.5,11.2,100.0,59.6,2,1,1,1
5.47,85.7,4.3,66.6,100.0,2,1,0,0
5.52,59.9,5.4,61.1,68.9,3,1,1,0
6.44,23.8,11.4,77.6,63.8,1,1,0,0
5.52,51.1,5.2,76.7,65.5,2,0,1,0
5.22,85.3,10.9,89.9,86.9,0,1,1,1
6.69,61.6,3.5,53.1,71.2,1,1,1,0
6.04,44.0,12.4,83.0,62.4,3,0,1,0
9.21,52.9,4.1,80.9,100.0,3,1,0,1
1.73,77.1,11.2,69.9,58.6,2,1,1,0
8.46,71.8,11.5,77.1,74.6,2,1,0,1
8.74,57.7,6.2,87.4,85.7,2,1,0,1
2.77,55.4,11.3,85.1,44.6,0,1,1,0
5.88,54.9,10.0,54.9,82.6,1,1,1,0
5.83,45.4,6.8,84.3,55.0,1,0,1,0
3.97,91.1,5.0,71.0,88.8,1,1,0,0
5.1,56.2,1.1,73.1,56.7,3,1,0,0
4.5,83.9,10.4,73.1,86.5,1,1,0,1
9.65,89.4,2.7,69.7,93.9,1,1,0,1
8.18,80.0,9.4,89.9,89.5,2,1,0,1
8.79,54.2,7.9,70.7,78.5,3,1,0,1
7.8,69.3,11.7,55.2,69.8,1,1,0,1
4.47,61.6,7.8,66.1,63.6,0,1,1,0
5.56,45.7,7.7,74.7,100.0,2,1,0,0
7.38,67.8,11.9,90.4,61.4,2,1,1,1
4.3,40.8,10.3,81.0,55.3,2,1,0,0
7.78,83.4,10.3,59.2,86.0,3,1,1,1
6.07,53.6,10.9,100.0,59.7,3,1,1,1
5.83,65.6,2.9,76.0,56.9,3,1,0,0
7.78,67.1,12.0,91.1,48.0,2,1,1,1
7.3,57.3,11.4,69.7,65.3,2,1,0,1
5.85,72.6,4.9,80.0,72.5,0,1,1,0
8.59,53.5,8.0,84.6,78.4,3,1,0,1
4.55,77.7,8.8,90.3,91.1,2,1,1,0
7.61,37.8,8.5,87.9,83.5,1,1,0,1
7.57,64.3,10.3,85.1,70.6,2,1,0,1
5.94,96.9,14.7,67.3,70.4,1,1,1,1
7.09,44.0,13.3,63.4,83.2,2,1,0,1
4.25,49.8,3.8,77.0,96.9,2,0,1,0
8.16,71.3,11.5,86.0,76.3,2,1,1,1
6.17,65.2,14.3,68.7,65.6,3,0,1,1
5.56,68.3,10.5,88.0,56.1,1,1,0,1
8.39,70.8,13.4,93.8,48.0,2,1,1,1
5.23,73.4,17.0,58.3,86.0,2,1,1,1
3.96,82.0,13.1,59.4,84.4,2,1,0,0
3.7,69.4,10.0,69.9,84.4,3,1,0,0
7.59,57.7,13.2,76.6,71.7,2,1,0,1
4.2,74.1,9.6,64.1,99.3,2,0,1,0
9.66,96.2,9.1,92.3,65.3,1,1,0,1
2.75,59.6,7.6,78.4,91.2,3,1,1,0
9.55,44.5,15.3,72.6,73.3,2,0,0,1
6.88,81.9,5.7,50.5,63.0,2,1,0,0
6.33,59.8,15.1,52.3,84.7,0,0,1,1
5.52,22.9,11.0,76.2,81.4,1,1,1,0
7.22,77.3,3.4,40.0,80.4,2,0,1,0
6.43,52.4,10.5,87.2,75.5,3,0,1,0
8.49,60.4,0.6,69.6,73.3,2,0,1,0
6.71,68.0,11.5,100.0,100.0,3,1,0,1
6.77,65.4,12.5,100.0,95.3,2,1,0,1
5.85,74.8,6.6,69.3,87.0,2,1,1,1
6.4,54.2,9.5,70.4,76.0,1,1,1,0
7.05,71.2,16.8,86.9,92.1,3,1,1,1
3.42,57.3,7.0,97.5,83.3,1,1,0,0
4.07,75.3,4.8,47.4,74.5,3,1,0,0
7.84,73.1,14.9,45.2,68.5,3,1,0,1
6.81,45.2,16.9,62.7,72.5,3,1,1,1
6.17,81.5,9.0,80.7,16.9,2,1,1,1
6.53,52.4,13.0,79.5,77.8,2,1,1,1
7.13,76.5,14.4,88.0,65.2,3,0,0,1
5.53,68.6,6.0,54.0,100.0,1,1,1,0
5.1,95.1,7.1,37.3,74.3,2,0,1,0
6.85,58.0,13.9,84.9,52.6,0,1,0,0
4.74,55.7,15.7,59.6,73.1,2,1,1,0
7.23,61.7,11.3,41.7,55.2,1,1,0,0
3.44,56.5,5.5,74.2,82.5,1,1,0,0
8.35,76.4,16.9,83.9,79.2,2,1,1,1
7.35,32.9,6.9,70.2,91.2,2,1,1,0
6.96,43.0,7.7,65.1,59.8,2,1,0,0
8.27,42.8,10.4,69.6,74.6,0,1,1,1
9.5,79.1,15.2,66.4,49.4,2,1,0,1
8.33,92.8,12.4,51.8,86.6,1,1,1,1
3.19,60.1,10.7,61.3,83.3,2,1,1,0
4.2,59.0,10.9,79.8,82.9,2,1,1,0
5.38,63.3,9.2,76.8,74.0,2,1,1,0
6.55,82.9,11.2,74.5,81.5,2,1,0,1
7.43,45.3,0.0,57.1,100.0,1,1,0,0
5.19,66.3,7.8,69.3,68.9,3,0,1,0
6.84,79.6,10.0,39.3,76.5,2,1,0,0
5.14,71.0,4.4,74.7,54.4,2,0,1,0
5.4,65.4,10.5,93.4,58.4,2,1,0,1
3.97,80.0,8.2,49.9,75.8,0,1,0,0
4.84,13.3,16.0,63.2,93.9,2,1,0,0
4.07,74.2,15.3,76.9,69.4,2,1,1,0
4.74,50.2,7.1,90.8,69.8,1,0,0,0
8.4,29.0,8.4,65.3,66.7,0,1,1,0
4.79,71.2,8.7,61.6,64.4,0,1,0,0
10.0,86.7,7.2,42.5,79.3,3,1,0,1
7.39,59.5,9.8,73.6,47.0,2,1,1,1
6.83,79.2,6.0,100.0,97.1,1,1,1,1
4.95,91.0,4.5,76.2,62.0,2,1,1,0
7.76,85.7,11.5,71.7,87.0,2,1,1,1
5.46,91.5,11.5,76.8,51.1,3,0,0,1
6.72,75.4,5.8,71.8,86.0,0,0,0,1
10.0,63.4,12.6,59.8,86.1,1,1,1,1
6.33,33.2,6.5,84.3,80.9,3,1,0,0
8.57,57.6,10.0,75.4,56.1,0,1,1,1
5.23,46.8,12.3,72.3,78.5,1,1,1,0
6.44,100.0,8.9,57.4,52.7,3,1,0,1
9.69,58.8,10.8,91.6,69.5,2,0,1,1
5.37,64.2,6.9,82.0,92.5,1,1,0,0
9.76,71.9,8.2,63.7,88.3,0,1,0,1
7.77,62.8,8.2,87.0,74.3,0,0,0,1
5.49,92.5,6.0,64.5,56.5,1,1,1,0
7.64,50.8,8.3,60.3,85.6,3,1,0,0
8.25,65.5,2.8,60.6,74.3,2,1,1,0
7.62,48.6,7.0,45.4,32.2,2,1,1,0
3.67,38.2,7.9,79.1,88.1,3,1,1,0
5.19,51.0,8.0,44.5,73.6,2,1,1,0
6.05,61.3,8.0,53.6,95.6,1,1,1,1
6.37,54.3,8.8,40.9,54.3,2,1,0,0
7.62,49.5,10.9,70.7,16.8,3,1,1,0
6.82,36.7,12.5,69.7,79.0,3,1,1,0
4.1,60.5,6.4,67.1,79.2,0,1,1,0
7.18,34.9,4.2,56.4,43.6,2,0,1,0
7.6,75.7,4.8,54.4,56.4,2,1,1,0
7.51,63.5,7.1,79.0,100.0,3,1,1,1
8.45,35.8,7.6,63.7,68.5,1,1,1,0
8.0,56.4,5.9,76.7,87.2,2,0,1,1
7.33,48.5,3.8,58.7,62.3,3,1,1,0
6.37,67.7,7.2,74.7,36.4,2,1,0,0
3.51,86.1,9.7,91.5,70.9,2,0,1,0
7.27,28.2,11.4,80.8,69.2,0,0,0,0
6.87,64.1,6.8,65.8,66.8,1,1,1,0
6.99,59.1,7.3,75.9,71.9,1,1,1,1
4.2,74.1,5.3,68.4,78.8,3,1,1,0
4.55,65.8,8.9,72.1,71.3,1,1,0,0
8.4,48.5,5.6,67.1,51.2,2,1,1,1
6.43,56.3,11.3,69.5,82.8,2,1,1,1
7.73,47.7,1.9,75.2,38.9,1,1,0,0
6.55,81.4,7.6,57.1,37.1,2,1,1,0
6.55,62.4,10.2,56.8,87.3,2,0,1,1
8.19,96.2,9.7,51.2,83.1,3,1,1,1
5.57,60.9,19.8,48.0,73.0,2,1,0,1
6.67,49.2,10.4,53.7,48.9,2,1,1,0
5.67,34.8,5.0,74.4,61.3,1,1,1,0
5.72,29.5,8.6,58.6,69.3,3,0,0,0
5.94,33.5,1.9,79.7,45.3,1,1,0,0
6.9,66.8,8.7,72.5,60.7,3,1,1,1
5.64,71.2,5.7,42.5,85.7,1,1,1,0
8.76,33.5,12.7,81.8,99.7,3,1,1,1
4.89,78.1,6.8,84.2,66.5,2,0,0,0
6.16,53.3,8.5,57.1,87.6,3,1,0,0
5.71,64.6,6.5,78.3,39.5,1,1,0,0
9.1,91.0,16.0,59.2,85.9,2,1,0,1
6.85,78.1,7.7,73.5,59.5,2,1,1,1
8.36,57.2,16.3,53.0,79.5,3,1,1,1
3.83,46.0,12.3,45.1,69.5,1,1,1,0
6.98,23.3,10.9,66.3,97.8,3,0,0,0
8.1,49.1,10.5,70.1,58.3,3,1,1,1
6.65,58.2,10.6,66.0,85.3,1,1,0,1
8.42,44.2,1.3,54.2,69.0,3,0,0,0
5.57,59.6,7.9,66.0,71.2,2,1,1,0
9.04,63.4,12.4,76.0,70.7,2,1,1,1
10.0,58.0,8.8,71.3,58.8,1,1,1,1
5.85,50.3,3.4,74.7,73.7,2,1,0,0
5.7,65.0,8.8,61.9,72.9,2,1,1,0
9.12,70.0,15.8,89.6,78.3,2,0,1,1
9.34,42.4,14.0,54.4,75.5,2,1,1,1
5.56,87.4,8.8,79.3,88.4,2,1,0,1
5.74,60.2,12.8,89.7,90.6,2,1,1,1
5.99,62.3,7.5,79.2,55.1,0,1,1,0
4.08,74.7,2.2,69.0,89.6,3,0,1,0
4.85,66.2,5.3,64.1,52.6,2,1,0,0
4.69,79.2,15.3,87.5,84.6,1,1,0,1
5.12,67.2,7.9,50.7,85.2,1,0,0,0
6.44,51.0,8.0,57.4,39.6,2,1,0,0
6.92,68.5,7.8,66.0,75.7,3,1,1,1
9.29,41.4,16.6,90.6,65.6,2,1,0,1
4.7,64.0,15.5,77.7,60.3,2,1,0,0
8.27,61.4,17.9,57.5,98.3,0,1,0,1
6.11,58.3,8.4,67.3,62.2,2,1,0,0
6.41,59.7,10.2,62.8,59.5,3,1,0,0
7.71,28.1,2.9,61.4,75.4,3,1,1,0
4.48,52.1,14.9,86.7,86.3,1,0,1,0
7.19,63.7,4.3,51.4,71.5,2,0,0,0
6.8,64.9,9.9,96.1,95.0,1,0,0,1
7.39,43.5,4.6,84.4,83.6,2,0,0,0
7.02,84.8,6.6,88.4,34.8,3,0,0,1
10.0,46.4,5.7,65.1,64.5,3,1,1,0
5.35,79.5,6.6,69.8,63.9,1,1,1,0
5.54,69.7,6.8,50.5,82.6,3,0,1,0
5.38,50.4,6.8,64.1,26.8,2,1,1,0
5.5,94.0,12.3,79.4,100.0,2,1,0,1
5.35,40.5,4.6,91.4,83.6,2,1,1,0
8.64,78.5,9.9,55.4,76.7,2,1,1,1
9.06,80.0,13.9,66.5,95.3,2,1,1,1
5.47,49.9,6.9,69.7,100.0,2,1,0,0
5.0,87.1,6.1,51.1,89.7,2,1,1,0
7.35,57.5,8.1,80.9,91.1,1,1,1,1
5.51,67.2,13.7,61.1,76.4,3,1,1,1
7.64,66.7,9.8,69.1,71.5,2,1,0,1
6.87,59.6,6.9,65.2,65.4,1,1,1,0
3.77,76.6,10.9,60.2,59.1,3,1,1,0
9.29,76.3,4.6,71.9,61.6,3,1,1,1
9.73,30.5,11.7,68.8,49.7,3,0,1,1
5.4,85.5,10.6,66.4,72.6,2,0,1,1
5.8,32.1,7.8,61.1,43.7,1,1,0,0
7.01,80.6,5.6,76.8,77.4,2,1,1,1
7.1,82.3,5.5,96.8,73.3,1,1,1,1
7.69,42.4,11.1,74.1,76.6,3,1,1,1
10.0,54.6,13.9,86.9,64.6,1,1,0,1
6.18,42.1,6.5,51.1,100.0,1,0,1,0
5.06,58.1,10.8,74.4,98.5,2,0,1,0
4.02,56.5,0.7,55.5,51.6,2,1,1,0
5.18,76.0,6.7,49.8,78.2,3,0,1,0
6.44,85.6,8.9,60.9,63.1,2,0,1,1
9.73,87.1,5.4,89.9,55.7,1,1,1,1
5.57,51.9,5.3,86.3,49.9,1,0,0,0
6.9,58.2,6.3,75.6,81.8,2,1,0,0
6.47,31.7,10.2,49.0,61.7,1,1,0,0
8.64,47.5,8.3,69.1,91.4,2,1,0,1
10.0,79.4,0.0,76.5,91.9,2,1,1,1
5.54,91.1,0.5,74.6,98.7,2,1,1,0
5.62,39.8,6.6,44.3,58.7,3,1,1,0
8.38,51.3,10.8,58.6,82.6,3,1,0,1
7.73,61.5,0.0,71.0,85.4,3,1,0,0
9.82,67.0,7.0,80.0,65.5,1,0,1,1
7.55,47.4,6.9,39.1,60.1,1,0,1,0
5.85,69.6,14.6,69.6,100.0,1,1,0,1
7.56,53.5,7.5,74.1,78.1,3,1,1,0
8.5,61.7,10.5,84.7,85.4,3,1,1,1
7.98,71.8,9.6,82.4,59.2,3,1,0,1
7.41,62.1,0.5,80.7,52.1,1,0,1,0
8.42,54.1,12.1,60.0,63.7,3,1,0,1
8.6,60.0,9.9,43.4,71.8,2,1,1,1
8.99,60.4,11.0,66.1,54.8,0,1,1,1
7.67,55.3,20.0,87.0,73.8,2,1,0,1
6.2,57.3,0.7,92.9,43.6,0,1,1,0
6.76,90.8,15.9,82.7,53.8,2,1,1,1
8.67,72.1,7.9,78.4,86.1,1,0,1,1
5.03,56.7,10.1,77.7,84.9,2,1,0,0
7.16,74.5,8.8,63.7,66.9,2,1,0,0
5.79,56.0,7.3,70.0,55.7,3,1,0,0
6.55,83.1,6.7,97.0,55.5,2,1,1,1
8.8,68.7,10.3,57.9,67.3,2,0,1,1
6.84,60.1,2.9,96.2,85.6,3,1,0,0
6.58,70.1,12.0,67.2,90.7,3,1,1,1
4.05,33.7,7.3,91.9,65.1,1,0,1,0
7.84,41.7,4.5,50.9,53.2,2,1,1,0
7.66,40.5,7.2,80.8,78.8,1,1,1,0
10.0,64.6,14.0,60.9,59.2,0,1,1,1
5.95,93.2,6.9,50.8,64.7,2,1,1,0
6.89,100.0,10.4,75.3,97.9,3,1,1,1
6.95,73.5,6.1,87.1,88.9,1,1,0,1
9.34,71.0,12.0,59.3,76.8,3,1,0,1
6.33,29.6,11.7,49.5,51.1,3,1,0,0
7.0,52.2,16.4,70.6,77.8,3,1,1,1
7.59,47.8,8.3,70.7,93.1,1,0,0,1
6.84,50.8,11.7,80.2,67.2,3,1,0,0
5.7,59.0,9.4,86.2,98.3,1,1,1,1
6.85,53.5,14.2,71.1,97.3,2,1,0,1
8.43,26.4,6.1,99.8,100.0,0,1,0,1
4.65,75.5,12.0,75.4,79.5,0,1,0,1
6.74,42.7,8.2,66.8,84.6,2,1,1,0
5.24,66.3,8.7,47.8,99.5,2,1,0,1
8.65,99.3,9.4,68.1,82.1,1,0,1,1
3.76,45.5,10.0,67.0,65.0,1,0,1,0
5.49,16.5,8.5,86.4,65.9,2,1,1,0
7.18,56.9,9.9,78.9,78.3,0,0,1,1
9.32,81.8,15.3,54.3,50.8,3,1,1,1
6.38,97.3,12.9,74.6,71.4,0,0,0,1
5.5,39.9,12.5,82.1,93.7,1,1,0,1
9.89,70.9,7.2,94.9,34.6,2,1,0,1
3.89,53.6,5.4,85.3,100.0,2,1,0,0
2.54,60.1,12.8,83.4,94.2,2,1,0,0
7.29,100.0,12.5,72.9,65.7,1,1,0,1
5.6,34.9,14.9,77.8,83.8,3,0,1,0
4.66,66.6,6.6,90.7,74.1,2,0,1,0
7.78,70.4,8.1,52.0,96.1,0,1,0,1
6.94,81.5,2.4,66.8,91.7,2,1,1,0
5.48,63.8,7.4,60.4,48.8,3,1,0,0
4.2,67.5,13.0,77.7,84.6,1,1,0,0
8.07,55.0,7.1,90.5,70.3,0,1,1,1
7.67,66.8,11.6,63.0,75.5,3,1,0,1
6.32,55.8,8.2,36.1,60.9,2,0,0,0
9.82,73.2,10.3,65.8,100.0,2,1,0,1
4.57,55.3,4.4,85.7,92.7,0,1,1,0
3.75,68.8,9.3,80.1,60.7,1,1,1,0
5.25,61.5,0.0,78.4,50.0,2,1,0,0
6.42,82.3,8.3,67.8,67.1,1,1,1,1
6.94,61.1,2.5,52.8,81.8,2,1,1,0
6.07,30.1,13.8,79.7,78.3,2,1,1,0
7.13,84.7,12.1,59.5,96.6,1,0,1,1
4.25,45.7,10.9,100.0,88.2,3,0,0,1
9.1,50.2,15.1,80.6,91.5,3,1,0,1
6.35,51.3,5.2,63.3,79.9,2,1,1,0
8.51,86.7,16.0,62.8,49.0,0,1,1,1
7.12,23.6,12.7,70.6,70.5,1,0,1,0
7.32,100.0,8.1,68.4,93.1,2,0,1,1
7.53,81.0,13.5,88.8,73.1,1,1,1,1
7.31,66.0,4.6,74.8,83.1,3,1,1,1
7.66,61.0,5.7,61.0,68.3,1,1,1,0
8.89,67.1,6.6,100.0,55.5,2,1,1,1
6.85,71.4,6.9,72.7,71.8,2,0,1,1
7.78,73.6,4.8,83.5,79.6,2,1,0,1
6.34,72.0,13.9,62.9,62.2,1,1,0,1
9.09,63.6,8.0,77.4,69.8,2,1,1,1
5.28,58.4,10.4,76.7,57.1,1,1,1,0
9.74,59.3,6.7,43.7,94.1,3,1,1,1
6.43,58.5,1.7,100.0,68.7,0,0,1,0
3.92,82.4,10.1,91.4,100.0,3,1,0,1
6.73,72.7,1.4,66.0,100.0,3,0,0,0
5.27,9.1,8.7,55.5,72.5,1,1,1,0
8.01,73.8,3.5,77.2,55.8,3,1,0,1
5.33,65.5,16.9,73.3,36.5,0,1,0,0
5.7,61.7,12.6,77.3,47.5,3,1,0,0
3.1,55.0,9.4,74.9,49.3,2,1,0,0
5.69,82.2,14.1,79.6,98.8,1,0,1,1
2.14,79.1,5.6,93.7,76.1,2,1,0,0
3.65,48.1,11.2,80.5,81.0,0,1,1,0
7.87,69.3,9.8,56.3,34.0,3,1,0,1
7.91,44.5,10.1,92.4,52.4,0,1,1,0
7.27,37.2,14.1,96.6,90.0,2,1,0,1
4.76,50.7,11.9,100.0,79.2,2,1,1,1
6.41,77.5,10.2,55.1,71.4,3,1,1,1
6.49,79.2,2.4,75.6,84.2,1,0,0,1
4.41,71.2,5.2,40.8,100.0,2,1,1,0
9.21,75.1,8.5,80.3,70.0,2,1,1,1
8.08,71.3,9.4,63.8,75.2,2,1,0,1
6.1,50.5,4.5,100.0,77.5,0,0,0,0
6.55,69.8,18.6,60.4,100.0,1,1,1,1
6.88,76.4,15.1,46.7,36.2,1,0,1,1
2.82,75.6,11.4,64.9,86.3,2,1,0,0
6.06,83.4,9.3,42.4,71.9,1,1,0,0
5.27,74.7,8.2,83.3,84.2,2,1,1,1
